text	readability
Michael Meier Müllergasse 123 Stadt X Computer-Spezialist Odenwaldstrasse 5 53119 Bonn Stadt X 20 März 2010. Vertriebspraktikant. Sehr geeherte Dammen und Herrn. ich bewerbe mich für die Praktikum Stelle in eure betrieb. ich bin jetzt Vorletzt Semestre von Studium. ich bin flexible und arbeite ich gerne in ein team; ich spreche Fränzosisch Englisch und flissend Deutsch. und weil ich ein Ausbildung im interculturelle Kommunication absolviert habe, ist mir KundenKontaK kein Fremdwort das Eure Firma ein gut ruf. hat macht mein interess noch grosser. Es werd mich sehr freuen Wenn ich die möglichkeit bekommen für ein baldige gespräch. Wie ich bin unter Diesem nummer Ereichbar 0123456789 Freundlich Grüss Michael Meier  Auflage Ausweis Kopie Certificat	1
"Sehr geehrte Damen und Herren, mit Ihrer Anzeige wir am „Stadt X-Wohnungsamt"" vom 1. April gelesen. Ich bin Arzt von Beruf, wir haben ein Kind, meine Frau arbeitet kauffrau bei XY-Büro, wir müssen größere Wohnung umziehen, weil unser Kind ein zimmer haben muss. Ich habe Fragen über Ihre wohnung, wie hoch sind Miete, Nebenkosten und Umlagen? Haben Sie Balkon oder die Garage? Wir hoffen auf Ihre Baldige Antwort mit  freundlichen Grüßen Michael und Maria Meier"	3
                                Stadt X den.12 märz 2012 Liebe Maria,              wie gehts dir? Ich hoffe du gehts ganz gut. Ich habe eine frage, bist du frei am kommen den montag? Ich wünche ein besonderes urlaub in der Strand machen. Aber Ich habe ein lieber Hund. Ich muss Ihen nicht mitnehmen. Darum möchte ich deine hilfe. Ich fare am 25. märz um 17 Uhr nach Köln. Ich wurde ein Paar tage im Köln verbringen. und Ich bin zürck am montag. Alles Liebe, deine Katharina	3
Maria Meier                  Stadt X, den 12. August 2011 Müllergasse 2 1234 Stadt Y Au-pair-Agentur Schultz & Partner Regegenstr. 101 90451 Nürnberg Beschwerdebrief über meine Erfahrung als Au-pair in Deutschland Sehr geehrte Damen und Herren, Ich schreibe diesen Brief weil ich nicht mit Ihre Angebot zufrieden bin. Jetz bin ich in Deutschland als Au-pair in eine Familie, aber ich war gleich zu Beginn sehr enttäuscht. In Ihre Angebot haben Sie günstige Konditionen und langjährige Erfahrung versprochen. Es ist nicht richtig. Ich kann nur bis Januar bleiben. Die Familie ist sehr böse mit mir. Sie hat nur zwei Zimmer deswegen wohne ich mit die Kindern in der gleiche Zimmer. Ich war ganz überzeugt, dass Ihre Angebot ehrlich war aber Sie haben Ihren Versprochen nicht gehaltet. Hier ist ein Lösungsvorschlag: aus die angegebenen Gründen, fordere ich eine Entschädigung. Geben Sie mich mein Geld zurück! Ich hoffe, dass mein Vorschlag möglich ist. Über eine positive Antwort von Ihnen, würde ich mich sehr freuen. Mit freundlichen Grüssen Maria Meier	1
                                          Stadt X de 26 Marz 2012 Lieber Michael, viele Dank für deine Gluckwunschkarte. Ich habe mich gefreuecht. Ich wünche dir auch viel Glück. In dieses neues Jahr gute Rucht, gesundheit in dein Leben. Ich war an Silvester mit andere Freunde verbracht. Wir haben genug gegesen und der nacht war herzlich. Danach von deine Ausbildung als Bäcker. Können wir etwas unternehmen. Sollten man viele wünche erzahlen fur dieses Jahr. Meine Arbeit mach viel Spaß, die Collegen sind nett. Ich hatte an anfang viel zu Tun. genau wie Jeder anfanger. Mit viele Gruße Julia	2
                               Stadt X 10.03.2012 Akademie Klausenhof Straße 100 Winkel 12345 Stadt X   Stadt X  Const. 54321 Stadt Y. Suche eine Wohnung. Sehr Geehrte Damen und Herren, ich Suche eine wohnung und Schön gelesen ihre Anzige und interessere für die wohnung. Ich möchte gerne wissen, wie Viele Zimmer die wohnung hat? Hat die Wohnung ein Balkon? Wie hochdie Miete? Können wir ein besichtigung termin Vereinbaren? Ich hoffe auf eine baldige Antwort. Mit Freundlichen Grüßen  Stefan Schmidt	3
Eva Meier Müllergasse 12 12345 Ukraine Aupairsglobal Bahnhofstr. 101 65185 Wiesbaden                                                  Ukraine 30.09.2011 Bitte um die Information Sehr geehrte Damen und Herren, von 11.05.2011 habe ich Ihre Anzeige gelesen, die hat mich sehr begeistert. Ich hatte mich die lange Zeit für eine Au-pair-Stelle in Deutschland interessiert und entspechend suchte ich die Möglichkeit, um alle Information zu erfahren. Obwohl ich auf Ihre Internetseite viele nützliche Infomation gelesen habe, gibt es immer noch die Unklarheiten. Zuerst ist die Frage der Sprachen Russisch und Ukrainisch sind meine beiden Muttersprache, ich beherrsche auch Englisch sehr gut in Wort und Schrift, aber in deutsche Sprache habe ich nur die Grundkenntnisse. Welche Stufe muss man beherrschen? Darüber hinaus möchte ich genau über Rechte und Pflichten Au-pair wissen, um mich selbstbewusst und protekt zu fühlen. Ich bin davon überzeugt, dass ich echt Spaß würde, wenn ich als Au-pair nach Deutschland fahren könnte, weil ich viel Erfahrung habe, mit den Kindern umzugehen. Ich würde sehr dankbar, wen Sie mir auch etwas über Freizeitmöglichkeiten in Deutschland berichten können, damit ich mehr begeistert geworden wird, um diese schönes land zu fahren. Für einen Brief mit allen Antworten würde ich mich sehr freuen. Mit freundlichen Grüßen, Eva Meier	1
Der Wohnungsmarkt in Stadt X Sehr geehrte zukünftige Kolleginen und Kollege, ich möchte hiermit über den Wohnungsmarkt in meiner Stadt Stadt X zu informieren. Stadt X ist eine Metropolie an der Elbe. Mehrere Menschen ziehen jahrlich nach Stadt X um, um bessere Arbeitsplätze zu verdienen. Stadt Xer  Immobilienmarkt hat verbreiteten Spektrum. Gutsituierte und vermögene Familien mit Kindern können sich ohne Verzweifelung für das Hauskauf entschieden. Die Geldanlage in den Haus oder in der Privatwohnung lohnt sich immer. Besonderes günstig und schön sind die Häuser an den Stadtrand, zum Beispiel im Stadtteil Y, wo ich mit meine Familie wohne. Junge Pärchen mieten am meistens die Wohnungen. Die Mietkostenspange liegt von 400-600 bis 2000 euro pro Monat. Je moderne ist die Wohnung, desto teurer. Auserdem muss man beachten, dass in beliebten Stadtteilen, wie Stadtteil Z, Stadtteil A, Stadtteil B die Mieten am höchstens sind. Die Singles bevorzugen kleine Wohnungen, die nich weit von der Firma entfernt sind. Ich möchte Ihnen mitteilen, das Wohnungssuche in Stadt X eine sehr ansträngende Prozess in Stadt X ist. Aber wir unterstützen Ihr dabei. Wenn Sie für unsere Firma sich entscheiden haben, dann kriegen Sie sowol Anspruchsvollen Job, als auch die Moglichkeit das Leben in Stadt X geniesen. Unseres Wohnungsmarkt und Infrastruktur sind sehr gut entwickelt, von einen kleiner Mietwohnung bis eine große Willa.	0
Hallo Jens, ich habe deine Novität gehort. Glückwünsche für du und deine Frau! wie heisst der Baby? Ist ein männlich oder eine weiblich? Wie geht der Mutter und der Baby? Viele grusse, Katharina	4
                                     Stadt X                                      den 12.03.´12 Liebe Maria, wie geht es dir? Mir geht es gut. Entschuldig mich bitte für so lange dir nicht schreiben. Als du wisst, ich fahre nach Stadt Y zur Prüfung. Ich muss von 20.03 bis 22.03 dort übernachten. Als du wisst, habe ich einen Hund, den ich nicht mitnehmen kann. Soll ich den Hund in meinem Haus verlassen um dich das zu sorgen? Du soll nur ein bisschen Futter und Wasser ihn geben. Ich lasse den Schlüssel des Zimmers auf dem Tisch im Garten bleiben.  Schreib bitte bald, Viele Grüße  Michael	3
