text	readability
Ich denke besser ins Termalbad in Stadt X gehen.	4
"Ich möche über das Thema „Ist es Deutschlernen sinnvoll?"""	0
Um mein Studium abzuschließen, muss ich ein monatliches Praktikum machen und möchte mich als Praktikantin bei Ihner Firma bewerben.	1
2012 Sehr geehret Damen und Herren, mit Interessant ihre Wohnung die Anziege.	3
Es war 70.- €, aber möchte ich nur 40.-€.	3
Ich schicke dir das Geld.	2
Bald würde ich nach meine Heimatland reisen.	3
Ich warte auf die Antwort meine Freundlichen Grüßen, Michael Schmidt	1
Es ist auch möglich auf dem Land zu wohnen.	0
Ich möchte gerne die Information zu bekommen, was muß ich dafür machen.	1
101 65185 Wiesbaden                                                    Stadt X, der 14.3.2011 Sehr geehrte Damen und Herren, ich bin an Ihre Anzeige interessiert.	1
Für einigen Lände ist es normal beim Treffen laut sprechen, sich Küssen, eng sich berühen.	0
Ich habe versucht Ihr anzurufen, leider gingen Sie auch nicht dran.	1
Ich freue mich, auf dich.	2
Als ich mich in Deutschland leben entschiden hatte, überlegte ich über die Deutschekultur.	0
Sie gelten als hochentwickelte Länder.	0
Wie geht´s es dir?	4
"Das, dass in unseren Sprichwort „Gesetze"" gemeint ist."	0
Ich bin flexibl und eine Zusammenarbeit mit anderen macht mir viel Spaß.	1
Im einem Haus können Einzehlpersonen oder Familien leben.	0
Und Manchen fordern, dass die Fenster von einem neuen Haus repariert werden.	0
Ich hoffe, dass ich ihnen helfen konnte.	0
Im Tätsät können wir fast nie sie vergessen oder verloren.	0
Die Arbeit hat mir sehr viel Spaß gemacht und ich habe dabei sehr viel gelernt.	1
Eine gute 3 Zimmer Wohnung zu mieten kostet ca.	0
Den Beschriebenen Anforderungen werde ich auf jeden Fall gerecht.	1
Ich fange zuerst mit dem Familienwohnen an.	0
Als Beispiel möchte ich Folgendes geben.	0
Die Betreuung durch die Agentur hat mich verärgert weil es schlechter weiter geht letzte mal war ich dort bei Ihrer Firma und die Cheffin hat mir erklärt dass ich kann nicht den Vertrag unterbrechen.	1
Ich möchte wissen, ob ich mit den Kindern auf Deutsch sprechen muss.	1
Hast du Zeit?	4
Liebe Grüße Eva	2
Viele Spanisch oder französisch sprechende Länder sind beliebt als Urlaubs Ort auch.	0
Ihr Angebot scheint sehr gut zu sein, aber ich möchte Ihnen noch einige Fragen stellen.	1
Logik in Sprache trainiert allgemeine Linguistische- und Kommunikationsfähigkeiten, deshalb wäre es nutzlich, Deutsch wie Englisch in die Grundschule lernen anzufangen.	0
Alle diese neue Ärzte müssen mindestens Niveau B2 des Europäischen Systems haben.	0
Außerdem, als ich erwaschne bin, muss ich erlaubnis haben von Freizeitaktivitäten auch?	1
                               Stadt X, den 23.03.2012 Liebe Silke!	2
Ist das Menchen oder Jung?	4
Ich bin krank, ich habe Grippe.	3
Ich brauche deine Hilfe.	3
und hute ich treffen mit michael bei eine Kafftref in stadt um zwei Uhr mittag, wie warn in Silvester beim eine freunden privat party gamacht, und das wär sehr schön und da noch wir sind in stadt gegangen, zu Fuss zum feuerwerk ansehen, und war sehr schön.	2
Durch meine Tätichkeiten als Informatikerin in Russland konnte ich meine Erfarungen erweitern.	1
Ich habe keine Zeit trotzdem denke ich das ist ein gute idee.	2
Mit freundliche Gruße.	3
Wenn jemand im Ausland lebt, dann muss man auch integrieren.	0
Die Silvesternacht habe ich zu hause mit meine Mann verbracht.	2
Sie suchen qualifizierten, aber in erster Linie deutschpachigen Personal.	0
Um negative Eindrucken zu vermeiden soll man die Sprache und die übliche Sitten und Bräuchte das   adoptiv Landes mit offene Arme nehme.	0
Wie heißen ihre Babys?	4
Wie geht es dir und mit der Mutter und eure Kinder?	4
Nun möchte ich nähere Information über die Stelle in Deutschland zu bekommen.	1
Mit freundlichen Grüßen.	3
Sich für die politische Situation, wirtschaftliche Entwicklung und Kultur im Heimatland weiter Interessieren.	0
Dann würde ich sagen, dass man ihre eigene Traditionen behalten kann.	0
Er hat mir schon immer gesagt dass er ein Haustiere haben möchte.	2
Ich freue mich, dass bei dir es geht alles gut.	2
Jetzt habe ich eine Frage.	1
die Wohnung soll vier Zimmer haben mit drei schlafzimmer, Wohnzimmer, Küche, Badezimmer mit Dusche, Toilette und Balkon.	3
_Diese Schwimmbad ist so groß und sehr schön.	4
Ich habe festgestelt, das ich mein Traum Beruf ist.	1
13.3.2012                     Wie geht es dir?	3
Eine Wohnung zu kaufen in der Stadt ist schwer.	0
Ich wünsche dir noch einmal die beste im Leben für den neuen Jahr!	2
Weil habe ich intersieren mich für diesen fach und möchte gern Teil nehmen.	1
Das ist super!	4
Ich möchte 5-ZW.	3
Das Ausland gibt uns ein bisschen dafür müssen wir auch geben etwas, dass ist ja nicht nur für die eine Seite.	0
An diesem Beruf reizen mich das vielfälltige Anforderungsprofil und der dirrekte Kontakt mit den teilweise verschiedenen Kunden.	1
Maria Ich komme Morgen Aufwiederhören Tschuch.	4
Wir haben zusammen gefeiert.	2
Zurzeit ich arbeite, leider, als Pflegerin.	2
65 m².	4
Wann du Dank und herzliche Grüße M. Meier	3
Bitte überweisen Sie mein Betrag auf meine Konto 1234 bei der XY Bank BLZ 4321.	1
In einer Wohnung kannst du alles machen.	0
Vor 2 Monaten bin ich in eine Neue Markering-Werbung Büro.	2
